dataset,method,metric,value,std
D1,Crane,ARE,2.0272950649261476,0.1019295705931327
D1,Mayfly,ARE,6.10419716835022,0.3688188541598051
D1,HourglassSketch,ARE,1.980110239982605,0.0642771971300975
D1,Crane,nDCG@100,0.7857352375984192,0.0024186826444
D1,Mayfly,nDCG@100,0.001815034856554,0.0001753841273597
D1,HourglassSketch,nDCG@100,0.3935268819332123,0.021524081721372
D1,Crane,Recall@100,0.6140000104904175,0.0041832961431644
D1,Mayfly,Recall@100,0.0,0.0
D1,HourglassSketch,Recall@100,0.115999998897314,0.0089442709812039
D2,Crane,ARE,0.9811802208423616,0.0843313945090638
D2,Mayfly,ARE,6.412387537956238,1.7172364899107315
D2,HourglassSketch,ARE,1.9907272577285768,0.1221418572386888
D2,Crane,nDCG@100,0.9475037038326264,0.010503723241972
D2,Mayfly,nDCG@100,0.0032848738948813,0.0016237641452516
D2,HourglassSketch,nDCG@100,0.8859675526618958,0.0099881931612341
D2,Crane,Recall@100,0.7080000102519989,0.0292831022619209
D2,Mayfly,Recall@100,0.0029999999329447,0.002738612726313
D2,HourglassSketch,Recall@100,0.4829999953508377,0.0272946861188675
D3,Crane,ARE,1.038562822341919,0.0736190948723834
D3,Mayfly,ARE,4.196811103820801,0.0283910122946362
D3,HourglassSketch,ARE,7.150062036514282,3.2924133477811286
D3,Crane,nDCG@100,0.9895103096961976,0.0009162486167371
D3,Mayfly,nDCG@100,0.9187744498252868,0.000861447437134
D3,HourglassSketch,nDCG@100,0.9666365265846252,0.0271954884071565
D3,Crane,Recall@100,0.8980000019073486,0.0294957615587802
D3,Mayfly,Recall@100,0.5839999794960022,0.0054772203515623
D3,HourglassSketch,Recall@100,0.8080000042915344,0.0672309520647126
D4,Crane,ARE,0.5823050498962402,0.0255074086569413
D4,Mayfly,ARE,1.1333060264587402,0.2544147707065515
D4,HourglassSketch,ARE,1.7408929109573363,0.040526547965478
D4,Crane,nDCG@100,0.975774383544922,0.001013022587228
D4,Mayfly,nDCG@100,0.8478901147842407,0.0292961223367967
D4,HourglassSketch,nDCG@100,0.9782269835472108,0.0024989744643077
D4,Crane,Recall@100,0.8540000200271607,0.0054772203515623
D4,Mayfly,Recall@100,0.4939999938011169,0.0207364352308763
D4,HourglassSketch,Recall@100,0.8480000019073486,0.0083666207828148
D5,Crane,ARE,0.613160228729248,0.0314408045153753
D5,Mayfly,ARE,3.2898765563964845,0.4269353641815313
D5,HourglassSketch,ARE,5.977723026275635,0.4372111516966937
D5,Crane,nDCG@100,0.9624976754188538,0.0020481853282414
D5,Mayfly,nDCG@100,0.4730157792568207,0.1471823824328786
D5,HourglassSketch,nDCG@100,0.8106156706809997,0.0372150922874131
D5,Crane,Recall@100,0.821999990940094,0.0044721316900383
D5,Mayfly,Recall@100,0.4079999983310699,0.0248997963952548
D5,HourglassSketch,Recall@100,0.6199999928474427,0.0308220889663816
