dataset,direction,method,metric,mean,std
D1,out,Crane,ARE,2.2087129592895507,0.2339137179843283
D1,out,Mayfly,ARE,8.89439353942871,0.7239598920464593
D1,out,HourglassSketch,ARE,1.9909423112869262,0.0763718805263989
D1,out,Crane,nDCG@100,0.7524536848068237,0.004866285152531547
D1,out,Mayfly,nDCG@100,0.0018388281576335,0.00036515853708390277
D1,out,HourglassSketch,nDCG@100,0.3969841480255127,0.019041110495528403
D1,out,Crane,Recall@100,0.5420000195503235,0.00447213169003838
D1,out,Mayfly,Recall@100,0.0,0.0
D1,out,HourglassSketch,Recall@100,0.1259999990463256,0.013416408953452441
D1,in,Crane,ARE,1.8458771705627441,0.056678926432965446
D1,in,Mayfly,ARE,3.3140007972717287,0.07374281512070409
D1,in,HourglassSketch,ARE,1.9692781686782836,0.05317228094051741
D1,in,Crane,nDCG@100,0.8190167903900146,0.0010129555198264287
D1,in,Mayfly,nDCG@100,0.0017912415554746399,5.655568895259023e-05
D1,in,HourglassSketch,nDCG@100,0.3900696158409119,0.051229624513300265
D1,in,Crane,Recall@100,0.6860000014305114,0.005477220351562305
D1,in,Mayfly,Recall@100,0.0,0.0
D1,in,HourglassSketch,Recall@100,0.10599999874830242,0.023021726976428687
D2,out,Crane,ARE,1.0837419629096985,0.28367469972692755
D2,out,Mayfly,ARE,6.152500200271606,2.1084362713696945
D2,out,HourglassSketch,ARE,1.8572126626968384,0.140307969904194
D2,out,Crane,nDCG@100,0.948239517211914,0.0030401935150228317
D2,out,Mayfly,nDCG@100,0.00314761279150836,0.0013077775973938165
D2,out,HourglassSketch,nDCG@100,0.8789062857627868,0.009502087101777492
D2,out,Crane,Recall@100,0.6800000071525574,0.009999990463256836
D2,out,Mayfly,Recall@100,0.003999999910593,0.005477225452626085
D2,out,HourglassSketch,Recall@100,0.4199999928474426,0.012247449200586987
D2,in,Crane,ARE,0.8786184787750244,0.16154895818560625
D2,in,Mayfly,ARE,6.672274875640869,2.775508986514369
D2,in,HourglassSketch,ARE,2.124241852760315,0.16609946802672515
D2,in,Crane,nDCG@100,0.9467678904533386,0.022368690590126698
D2,in,Mayfly,nDCG@100,0.0034221349982544195,0.003635952196912713
D2,in,HourglassSketch,nDCG@100,0.8930288195610047,0.016562487541497743
D2,in,Crane,Recall@100,0.7360000133514404,0.05549775384533357
D2,in,Mayfly,Recall@100,0.0019999999552965,0.004472135855039515
D2,in,HourglassSketch,Recall@100,0.5459999978542328,0.05856620172508258
