method,dataset,stream_size,metric,mean,std
Crane,Lkml,20000,are,0.6593636572360992,0.18126509140067115
Crane,Lkml,40000,are,0.6328607559204101,0.2164362400457944
Crane,Lkml,80000,are,0.7261264324188232,0.15129864916623656
Crane,Lkml,200000,are,0.6210687756538391,0.13454360283482977
Crane,Lkml,400000,are,0.6459632933139801,0.1438312919438465
Crane,Lkml,800000,are,1.0489681839942933,0.4581457003019699
Crane,NotreDame,200000,are,0.6339789152145385,0.3797385754360884
Crane,NotreDame,500000,are,0.9937530845403671,0.734638425558336
Crane,NotreDame,1000000,are,1.8766715764999389,1.1159175390627423
Crane,NotreDame,1500000,are,2.6296419858932496,1.1724111804012314
Crane,CAIDA2018,2000000,are,2.290445256233215,0.820249130389652
Crane,CAIDA2018,8000000,are,9.096187782287597,2.846576560594275
Crane,CAIDA2018,16000000,are,17.532152557373045,5.172365539812045
Crane,CAIDA2018,27100000,are,28.7005558013916,8.356507469844553
Crane,WiKiTalk,2000000,are,2.8617249488830567,1.2063032134261538
Crane,WiKiTalk,8000000,are,13.433242034912109,4.244079118202949
Crane,WiKiTalk,16000000,are,27.211178970336913,8.264557775178684
Crane,WiKiTalk,25000000,are,43.27038726806641,12.812103551575046
Crane,StackOverflow,2000000,are,3.9771289348602297,1.7143241065335066
Crane,StackOverflow,8000000,are,16.50113582611084,5.1125652519531615
Crane,StackOverflow,16000000,are,32.654273986816406,9.87811510381599
Crane,StackOverflow,63500000,are,115.67998962402343,33.9423813284956
TCM,Lkml,20000,are,1.60715,0.0
TCM,Lkml,40000,are,3.3089199999999996,4.440892098500626e-16
TCM,Lkml,80000,are,6.482000000000001,8.881784197001252e-16
TCM,Lkml,200000,are,17.5248,0.0
TCM,Lkml,400000,are,34.4047,0.0
TCM,Lkml,800000,are,67.6022,0.0
TCM,NotreDame,200000,are,38.0078,0.0
TCM,NotreDame,500000,are,96.2292,0.0
TCM,NotreDame,1000000,are,194.561,0.0
TCM,NotreDame,1500000,are,292.017,0.0
TCM,CAIDA2018,2000000,are,78.3827,0.0
TCM,CAIDA2018,8000000,are,329.137,0.0
TCM,CAIDA2018,16000000,are,677.366,0.0
TCM,CAIDA2018,27100000,are,1170.95,0.0
TCM,WiKiTalk,2000000,are,239.70999999999998,2.842170943040401e-14
TCM,WiKiTalk,8000000,are,1200.56,0.0
TCM,WiKiTalk,16000000,are,2813.88,0.0
TCM,WiKiTalk,25000000,are,4863.01,0.0
TCM,StackOverflow,2000000,are,382.461,0.0
TCM,StackOverflow,8000000,are,1590.78,0.0
TCM,StackOverflow,16000000,are,3280.84,0.0
TCM,StackOverflow,63500000,are,12310.6,0.0
GSS,Lkml,20000,are,6.110516,0.38705851100834865
GSS,Lkml,40000,are,10.9135,0.7348994135254154
GSS,Lkml,80000,are,30.783799999999996,18.564513720752284
GSS,Lkml,200000,are,44.53948,2.490539914476377
GSS,Lkml,400000,are,126.81050000000002,82.73204095089157
