objective,dataset,metric,mean,std
MAE,Lkml,are,0.7223918497562408,0.019565537677562975
MAE,Lkml,aae,2.822120360533396,0.14153637832089946
MAE,NotreDame,are,1.5335113905370235,0.7174490645933652
MAE,NotreDame,aae,1.5335113905370235,0.7174490645933652
MAE,CAIDA2018,are,14.404835349321365,4.286930322333946
MAE,CAIDA2018,aae,43.61526417732239,7.181982006089675
MAE,WiKiTalk,are,21.69413330554962,6.627291281547913
MAE,WiKiTalk,aae,27.40822639465332,8.192650732207957
MAE,StackOverflow,are,42.20313209295273,12.655223154550168
MAE,StackOverflow,aae,46.94600477218628,14.0880734912841
Balanced MSE,Lkml,are,0.7330408205588659,0.040935477577649364
Balanced MSE,Lkml,aae,2.7656945029894513,0.09355119497102382
Balanced MSE,NotreDame,are,2.169957375153899,0.6717815690326678
Balanced MSE,NotreDame,aae,2.169957375153899,0.6717815690326678
Balanced MSE,CAIDA2018,are,19.07126251459122,2.10995023742942
Balanced MSE,CAIDA2018,aae,51.48217859268188,3.638152762537662
Balanced MSE,WiKiTalk,are,28.94879868030548,3.325595564110204
Balanced MSE,WiKiTalk,aae,36.382110071182254,4.1510392325514225
Balanced MSE,StackOverflow,are,55.97663550376892,6.756563746962643
Balanced MSE,StackOverflow,aae,62.29387230873108,7.516344685728304
