dataset,memory_layer,mean,std
Lkml,1,3.5722203224897386,3.4156694686167
NotreDame,1,12.501180674135686,13.337378072547661
CAIDA2018,1,111.82999993562699,111.46847408777923
WiKiTalk,1,165.49514360427855,165.57251067160618
StackOverflow,1,293.64772911071776,288.5792891059875
Lkml,4,0.7223918497562408,0.019565537677562975
NotreDame,4,1.5335113905370235,0.7174490645933652
CAIDA2018,4,14.404835349321365,4.286930322333946
WiKiTalk,4,21.69413330554962,6.627291281547913
StackOverflow,4,42.20313209295273,12.655223154550168
