method,dataset,stream_length,mean,std
Crane (zipf),Lkml,20000,0.6593636572360992,0.18126509140067115
Crane (zipf),Lkml,40000,0.6328607559204101,0.2164362400457944
Crane (zipf),Lkml,80000,0.7261264324188232,0.15129864916623656
Crane (zipf),Lkml,200000,0.6210687756538391,0.13454360283482977
Crane (zipf),Lkml,400000,0.6459632933139801,0.1438312919438465
Crane (zipf),Lkml,800000,1.0489681839942933,0.4581457003019699
Crane (zipf),NotreDame,200000,0.6339789152145385,0.3797385754360884
Crane (zipf),NotreDame,500000,0.9937530845403671,0.734638425558336
Crane (zipf),NotreDame,1000000,1.8766715764999389,1.1159175390627423
Crane (zipf),NotreDame,1497134,2.6296419858932496,1.1724111804012314
Crane (zipf),CAIDA2018,2000000,2.290445256233215,0.820249130389652
Crane (zipf),CAIDA2018,8000000,9.096187782287597,2.846576560594275
Crane (zipf),CAIDA2018,16000000,17.532152557373045,5.172365539812045
Crane (zipf),CAIDA2018,27121713,28.7005558013916,8.356507469844553
Crane (zipf),WiKiTalk,2000000,2.8617249488830567,1.2063032134261538
Crane (zipf),WiKiTalk,8000000,13.433242034912109,4.244079118202949
Crane (zipf),WiKiTalk,16000000,27.211178970336913,8.264557775178684
Crane (zipf),WiKiTalk,24981163,43.27038726806641,12.812103551575046
Crane (zipf),StackOverflow,2000000,3.9771289348602297,1.7143241065335066
Crane (zipf),StackOverflow,8000000,16.50113582611084,5.1125652519531615
Crane (zipf),StackOverflow,16000000,32.654273986816406,9.87811510381599
Crane (zipf),StackOverflow,63497050,115.67998962402343,33.9423813284956
Crane (uniform),Lkml,20000,0.6531629025936126,0.20342601530331175
Crane (uniform),Lkml,40000,0.5586793422698975,0.20767026018525647
Crane (uniform),Lkml,80000,0.6228000164031983,0.16252072069744677
Crane (uniform),Lkml,200000,0.5149366080760955,0.05018991755658732
Crane (uniform),Lkml,400000,0.6951537370681763,0.18013070071680523
Crane (uniform),Lkml,800000,1.2085739016532897,0.2175022198987115
Crane (uniform),NotreDame,200000,0.70723797082901,0.4232866040085701
Crane (uniform),NotreDame,500000,0.9659133076667785,0.3267919401180143
Crane (uniform),NotreDame,1000000,2.4363659143447878,0.48486741072548956
Crane (uniform),NotreDame,1497134,3.6242160320281984,0.5401432193798548
Crane (uniform),CAIDA2018,2000000,3.1523517608642577,0.5165572569680419
Crane (uniform),CAIDA2018,8000000,12.669766044616699,1.4083361895095214
Crane (uniform),CAIDA2018,16000000,24.27874755859375,2.6653413222529303
Crane (uniform),CAIDA2018,27121713,39.61296463012695,4.2809746785146
Crane (uniform),WiKiTalk,2000000,4.3627338886260985,0.6294079793360724
Crane (uniform),WiKiTalk,8000000,18.382689666748046,1.9410742260876723
Crane (uniform),WiKiTalk,16000000,37.928723907470705,3.939367622863027
Crane (uniform),WiKiTalk,24981163,59.79582214355469,6.001097463359581
Crane (uniform),StackOverflow,2000000,5.311084365844726,0.7880798802179617
Crane (uniform),StackOverflow,8000000,22.529642486572264,2.288655733683294
Crane (uniform),StackOverflow,16000000,44.7560546875,4.339995405332866
Crane (uniform),StackOverflow,63497050,158.02993774414062,15.603527091395494
Mayfly (zipf),Lkml,20000,10.668000000000001,4.019181011101639
