alpha,method,dataset,stream_size,mean,std
-0.5,Crane,Lkml,20000,0.6323573957842188,0.1993886824795621
-0.5,Crane,Lkml,40000,0.6022392281013879,0.2358039468861698
-0.5,Crane,Lkml,80000,0.6811944325685161,0.1762011345969338
-0.5,Crane,Lkml,200000,0.5333595758171745,0.1766428974714582
-0.5,Crane,Lkml,400000,0.6505346672277581,0.2324852828492219
-0.5,Crane,Lkml,800000,1.048427871317417,0.637324229515594
-0.5,Crane,CAIDA2018,2000000,2.801194850434408,1.061557866502573
-0.5,Crane,CAIDA2018,8000000,11.789258721448116,3.434474641480665
-0.5,Crane,CAIDA2018,16000000,23.485478568894635,6.746529747827967
-0.5,Crane,CAIDA2018,27100000,38.95520258673712,11.274545242234185
-0.5,Crane,WiKiTalk,2000000,3.4634452895329817,1.410837492966624
-0.5,Crane,WiKiTalk,8000000,14.616191976772756,4.4519958946709215
-0.5,Crane,WiKiTalk,16000000,30.251488201931636,9.18645876811832
-0.5,Crane,WiKiTalk,25000000,47.0180484394817,13.91676571341596
-0.5,Crane,StackOverflow,2000000,3.9470875799813583,1.6301713549876051
-0.5,Crane,StackOverflow,8000000,16.56248902621526,5.2641132189185145
-0.5,Crane,StackOverflow,16000000,32.73616368906244,9.968604603427073
-0.5,Crane,StackOverflow,63500000,122.13711353091966,35.790883620263166
-0.5,TCM,Lkml,20000,1.7756715415608275,2.220446049250313e-16
-0.5,TCM,Lkml,40000,3.735961609330906,0.0
-0.5,TCM,Lkml,80000,7.403568529845008,0.0
-0.5,TCM,Lkml,200000,20.462099405776133,0.0
-0.5,TCM,Lkml,400000,40.793449371532965,0.0
-0.5,TCM,Lkml,800000,80.71933681710979,0.0
-0.5,TCM,CAIDA2018,2000000,100.23164763239762,0.0
-0.5,TCM,CAIDA2018,8000000,430.9264071849757,0.0
-0.5,TCM,CAIDA2018,16000000,902.2643374162692,0.0
-0.5,TCM,CAIDA2018,27100000,1579.6111437609557,0.0
-0.5,TCM,WiKiTalk,2000000,264.15112259619065,0.0
-0.5,TCM,WiKiTalk,8000000,1311.307164751346,0.0
-0.5,TCM,WiKiTalk,16000000,3041.848392511801,0.0
-0.5,TCM,WiKiTalk,25000000,5208.313751904036,0.0
-0.5,TCM,StackOverflow,2000000,386.2061206343037,0.0
-0.5,TCM,StackOverflow,8000000,1603.1241917668983,0.0
-0.5,TCM,StackOverflow,16000000,3299.2663480942965,4.547473508864641e-13
-0.5,TCM,StackOverflow,63500000,12531.652972374532,0.0
-0.5,GSS,Lkml,20000,6.82464852662676,0.4156876461096554
-0.5,GSS,Lkml,40000,12.40196563817825,0.7959885828663826
-0.5,GSS,Lkml,80000,35.517981954547416,21.554793024268204
-0.5,GSS,Lkml,200000,52.23484935891089,2.8246169777276067
-0.5,GSS,Lkml,400000,151.05484403138806,98.80897040218812
-0.5,GSS,Lkml,800000,295.33737979719507,197.46526662867632
-0.5,GSS,CAIDA2018,2000000,836.1887480818608,554.2383142996683
-0.5,GSS,CAIDA2018,8000000,3205.318272998423,2141.32928220713
-0.5,GSS,CAIDA2018,16000000,6197.751395176583,4145.437318113973
-0.5,GSS,CAIDA2018,27100000,10328.268971293226,6913.704233445232
-0.5,GSS,WiKiTalk,2000000,520.2765995743996,4.030199119484617
-0.5,GSS,WiKiTalk,8000000,2340.1285683862434,27.910295997446394
-0.5,GSS,WiKiTalk,16000000,5220.895524884068,82.21929522412836
-0.5,GSS,WiKiTalk,25000000,8679.442318262034,113.90847803734552
-0.5,GSS,StackOverflow,2000000,798.6872278187777,583.773985424518
-0.5,GSS,StackOverflow,8000000,3192.4489195760157,2339.0426575506576
-0.5,GSS,StackOverflow,16000000,6489.857038240994,4716.359425675099
-0.5,GSS,StackOverflow,63500000,27441.031769440473,18557.58037485222
-0.5,Auxo,Lkml,20000,3.586034065442482,0.0279424978000887
-0.5,Auxo,Lkml,40000,7.223973866451257,0.0135272912961783
-0.5,Auxo,Lkml,80000,13.762439769694025,0.0509226384064731
-0.5,Auxo,Lkml,200000,36.947834353378816,0.0949567732062365
-0.5,Auxo,Lkml,400000,73.16086742180224,0.1396106516688929
-0.5,Auxo,Lkml,800000,146.79786953272247,0.1338094646259571
-0.5,Auxo,CAIDA2018,2000000,333.2909634943597,1.1111526339262905
-0.5,Auxo,CAIDA2018,8000000,1302.0324901335548,1.4714169121209373
-0.5,Auxo,CAIDA2018,16000000,2613.616691162913,3.091652541230976
-0.5,Auxo,CAIDA2018,27100000,4453.240459239298,6.549036974114838
-0.5,Auxo,WiKiTalk,2000000,401.61797773290834,0.2534671591598213
